,Name,Url,Ingredients,Calories,Carbs Grams,Protein Grams,Fat Grams
30,Sheet Pan Lemon Rosemary Chicken & Potatoes,https://www.eatyourselfskinny.com/sheet-pan-lemon-rosemary-chicken-potatoes/,"['3 Tbsp olive oil divided', '1 Tbsp lemon juice', 'Zest of 1 lemon', '2 cloves garlic minced', '1 Tbsp fresh rosemary chopped', '1 Tbsp fresh thyme chopped', '1½ tsp. sea salt', '1 tsp. black pepper', '4 boneless skinless chicken breasts', '3 cups baby red potatoes quartered', '1 lb. fresh green beans']",396.0,25.2,39.2,14.9
31,Crock Pot Salsa Chicken,https://www.eatyourselfskinny.com/crock-pot-salsa-chicken/,"['4 large boneless skinless chicken breasts', 'Salt and pepper', '2 cups favorite salsa']",161.0,8.0,24.8,2.7
32,Slow Cooker White Chicken & Quinoa Chili,https://www.eatyourselfskinny.com/white-chicken-quinoa-chili/,"['1½ lb. boneless skinless chicken breasts', '1 cup uncooked quinoa', '1 medium onion chopped', '2 large celery stalks chopped', '1 jalapeño de-seeded and chopped', '4 cloves garlic minced', '2 (4.5 oz) cans diced green chiles', '1 (15 oz) can cannellini beans drained and rinsed', '1 cup frozen corn', '4 cups low-sodium chicken broth', 'Juice of 1 lime', '1 Tbsp cumin', '½ tsp. dried oregano', '1 bay leaf', '2 tsp. sea salt', '¼ tsp. pepper', 'Toppings (optional): Cilantro avocado shredded cheese']",319.0,43.0,26.9,4.3
33,Detox Immune-Boosting Soup,https://www.eatyourselfskinny.com/detox-immune-boosting-chicken-soup/,"['2 Tbsp olive oil', '1 onion chopped', '3 large celery stalks chopped', '2 large carrots peeled and chopped', '1 cup mushrooms sliced', '10 cloves garlic minced', '8 cups chicken stock', '2 bay leaves', '½ tsp. turmeric', '½ tsp. crushed red pepper', '1½ tsp. sea salt', '1 (15 oz) can chickpeas drained and rinsed', '3 cups shredded rotisserie chicken', '2 cups baby kale leaves']",253.0,20.6,28.0,6.5
34,Perfectly Roasted Broccoli & Sweet Potatoes,https://www.eatyourselfskinny.com/perfectly-roasted-broccoli-sweet-potatoes/,"['2 large sweet potatoes peeled and diced (about 8 cups)', '2 large heads broccoli chopped (about 8 cups)', '2 to 3 Tbsp olive oil', '¾ tsp. smoked paprika', '½ tsp. garlic powder', '¼ tsp. onion powder', '¼ tsp. cayenne pepper', '¼ tsp. dried oregano', '¼ tsp. dried thyme', '½ tsp. sea salt', '¼ tsp. black pepper']",206.0,31.4,7.2,7.8
35,Sweet and Spicy Cranberry Salsa,https://www.eatyourselfskinny.com/how-to-create-the-perfect-holiday-cheeseboard/,"['1 (12 oz) package fresh cranberries', '1 Tbsp orange zest', '2 jalapenos seeded and chopped', '½ cup sliced green onions', '½ Tbsp lime juice', '½ cup raw sugar', '¼ tsp. salt']",109.0,25.8,0.2,0.0
36,Slow Cooker Butternut Squash and Farro Chili,https://www.eatyourselfskinny.com/slow-cooker-butternut-squash-and-farro-chili/,"['2 lb. butternut squash peeled and diced', '1 onion chopped', '1 bell pepper chopped', '5 garlic cloves minced', '2 (15 oz) cans diced tomatoes', '3 Tbsp tomato paste', '1 (15 oz) can black beans drained', '1 (15 oz) can cannellini beans drained', '1½ cups vegetable broth', '1 cup farro rinsed', '1 Tbsp chili powder', '1 tsp. cinnamon', '½ tsp. salt']",323.0,67.1,13.0,1.0
37,Butternut Squash & Sage Spaghetti with Zucchini Noodles,https://www.eatyourselfskinny.com/butternut-squash-sage-spaghetti-with-zucchini-noodles/,"['2 Tbsp olive oil', '1 medium onion chopped into large chunks', '3 cloves garlic minced', '2 lb. butternut squash peeled and cut into cubes (about 3 cups)', '¼ tsp. nutmeg', 'Salt and pepper to taste', '3 sage leaves minced', '2 cups vegetable broth', '8 oz. Barilla whole wheat spaghetti', '2 medium zucchini spiralized']",322.0,54.0,10.6,8.0
38,One Pot Spicy Sausage and Kale Soup,https://www.eatyourselfskinny.com/spicy-sausage-and-kale-soup/,"['1 Tbsp O Organics Extra Virgin olive oil', '1 lb. hot (or regular) Italian ground sausage', '1 medium onion chopped', '2 bell peppers chopped (I used red and green)', '2 cloves garlic minced', '4 cups O Organics beef broth', '1 (15 oz) can O Organics diced tomatoes', '1 (16 oz) jar O Organics chunky salsa', '1 (12 oz) bag O Organics mixed frozen vegetables (corn green beans carrots)', '1 Tbsp Worcestershire sauce', '½ tsp. O Organics Italian seasoning', 'Salt and pepper to taste', '2 cups O Organics baby kale leaves']",319.0,20.6,13.0,13.9
39,Healthy Breakfast Enchiladas,https://www.eatyourselfskinny.com/healthy-breakfast-enchiladas/,"['1 Tbsp olive oil', '12 oz. turkey breakfast sausage', '1 small onion chopped', '8 eggs', 'Salt and pepper to taste', '10 (6 inch) whole wheat flour tortillas', '2 cups ranchero sauce (or your favorite enchilada sauce)', '½ cup shredded Mexican cheese', '1 Tbsp olive oil', '1 small onion chopped', '3 cloves garlic minced', '1 red bell pepper chopped', '1 jalapeño de-seeded and chopped', '1 tsp. cumin', '1 tsp. salt', '1 (10 oz) can diced tomatoes with green chiles', '1 cup low-sodium chicken broth', '3 Tbsp chopped cilantro', '1 avocado chopped', '1 cup cherry tomatoes halved', '3 Tbsp green onions chopped', 'Handful cilantro chopped']",265.0,19.5,15.5,12.1
40,Chicken Parmesan with Zucchini Noodles,https://www.eatyourselfskinny.com/baked-chicken-parmesan-with-zucchini-noodles/,"['2 boneless skinless chicken breasts halved horizontally', 'Salt and ground black pepper to taste', '½ cup whole-wheat panko bread crumbs', '¼ cup grated Parmesan cheese', '2 Tbsp flaxseed meal', '1 tsp. dried oregano', '½ tsp. garlic powder', '2 egg whites', '1 tsp water', '2½ cups favorite marinara or this recipe ', '4 medium zucchini spiralized', '½ cup shredded mozzarella cheese', '2 Tbsp fresh basil leaves chopped', 'Cooking spray']",346.0,22.0,41.0,9.6
41,Slow Cooker Chicken Fajita & Quinoa Soup,https://www.eatyourselfskinny.com/slow-cooker-chicken-fajita-quinoa-soup/,"['1½ lb. boneless skinless chicken breasts', '1 cup uncooked quinoa rinsed', '3 bell peppers chopped', '1 medium onion chopped', '3 cloves garlic minced', '4 cups low-sodium chicken broth', 'Juice of 1 lime', '1 (15 oz) can diced tomatoes', '1 (4.5 oz) can green chiles', '1 (15 oz) can black beans drained and rinsed', '1 cup frozen corn', '1½ Tbsp chili powder', '1 Tbsp cumin', '2 tsp. paprika', '2 tsp. sea salt', 'Toppings (optional): Cilantro avocado shredded cheese']",354.0,50.5,29.4,4.6
42,Cheesy Caprese Chicken & Quinoa Casserole,https://www.eatyourselfskinny.com/cheesy-caprese-chicken-quinoa-casserole/,"['3 cups diced rotisserie chicken (or any other cooked chicken)', '1 cup uncooked quinoa', '2 cups chicken broth', '2 cups crushed tomatoes', '2 Tbsp tomato paste', '1 Tbsp balsamic vinegar', '¼ cup half and half', '¼ to ½ tsp. crushed red pepper (this is optional)', 'Salt and pepper to taste', '¼ cup grated Parmesan cheese', '1 cup shredded mozzarella cheese divided', '1 cup grape tomatoes halved', 'Handful fresh basil chopped']",337.0,29.2,31.1,10.5
43,Mango Sriracha Chicken Skewers,https://www.eatyourselfskinny.com/mango-sriracha-chicken-skewers/,"['2 lb. boneless skinless chicken breasts cut into 1-inch cubes', '1 (14 oz) can coconut milk', '1 cup chopped mango', '2 cloves garlic minced', '3 Tbsp sriracha', '1 Tbsp lime juice', '2 Tbsp honey', '3 Tbsp olive oil', 'Salt and pepper to taste', 'Handful fresh cilantro', '1½ cups mango chopped', '½ cup red sweet pepper chopped', '1 or 2 jalapenos chopped', '¼ cup red onion chopped', '¼ cup sliced green onions', '3 Tbsp cilantro chopped', '2 Tbsp lime juice', '½ tsp. lime zest']",308.0,12.9,40.7,8.0
44,Skillet Veggie and Cheese Stuffed Shells,https://www.eatyourselfskinny.com/skillet-veggie-stuffed-shells/,"['27 (9 oz) jumbo pasta shells', '1 Tbsp olive oil', '1 onion chopped', '1 clove garlic minced', '3 large carrots shredded', '1 medium zucchini shredded', '1 (10 oz) package frozen chopped spinach thawed and well-drained', '1 cup part skim ricotta cheese', '1 cup shredded mozzarella cheese', '½ cup shredded Parmesan cheese', 'Salt and pepper to taste', '3 cups pasta sauce (24 oz)']",273.0,34.1,13.8,9.9
45,Baked Chicken Fajita Roll-Ups,https://www.eatyourselfskinny.com/baked-chicken-fajita-roll-ups/,"['2 Tbsp olive oil', 'Juice of half a lime', '1 clove garlic minced', '1 tsp. chili powder', '½ tsp. cumin', '½ tsp. dried oregano', '½ tsp. salt', 'Pinch of cayenne pepper (optional)', '2 Tbsp cilantro chopped', '3 chicken breasts or 6 thin sliced chicken cutlets ¼-inch thick', '½ red bell pepper sliced', '½ yellow bell pepper sliced', '½ green bell pepper sliced']",255.0,10.9,27.6,12.7
46,Maple Balsamic and Herb Chicken,https://www.eatyourselfskinny.com/maple-balsamic-herb-chicken/,"['¼ cup balsamic vinegar', '2 Tbsp pure maple syrup', '1 Tbsp Dijon mustard', '2 cloves garlic minced', '½ tsp. fresh thyme', '? tsp. cayenne', 'Salt and black pepper to taste', '4 boneless skinless chicken breasts', '2 Tbsp olive oil']",247.0,9.8,26.9,10.0
47,Lemon and Herb Spaghetti Squash with Roasted Shrimp,https://www.eatyourselfskinny.com/lemon-and-herb-spaghetti-squash-with-roasted-shrimp/,"['2 small to medium spaghetti squash', '12 oz. large shrimp peeled and deveined (about 20 shrimp)', '1 Tbsp olive oil', '2 Tbsp grass fed butter', 'Salt and cracked pepper to taste', '3 cloves garlic minced', '1 lemon juiced', '1 tsp. lemon zest', '½ cup dry white wine', '1 tsp. Dijon mustard', '¼ tsp. red pepper flakes', '¼ cup plain Greek yogurt', '2 Tbsp fresh parsley chopped']",235.0,25.7,9.7,10.4
