,Name,Url,Ingredients,Calories,Carbs Grams,Protein Grams,Fat Grams
21,Crock Pot Salsa Chicken,https://www.eatyourselfskinny.com/crock-pot-salsa-chicken/,"['4 large boneless skinless chicken breasts', 'Salt and pepper', '2 cups favorite salsa']",161.0,8.0,24.8,2.7
22,Slow Cooker White Chicken & Quinoa Chili,https://www.eatyourselfskinny.com/white-chicken-quinoa-chili/,"['1½ lb. boneless skinless chicken breasts', '1 cup uncooked quinoa', '1 medium onion chopped', '2 large celery stalks chopped', '1 jalapeño de-seeded and chopped', '4 cloves garlic minced', '2 (4.5 oz) cans diced green chiles', '1 (15 oz) can cannellini beans drained and rinsed', '1 cup frozen corn', '4 cups low-sodium chicken broth', 'Juice of 1 lime', '1 Tbsp cumin', '½ tsp. dried oregano', '1 bay leaf', '2 tsp. sea salt', '¼ tsp. pepper', 'Toppings (optional): Cilantro avocado shredded cheese']",319.0,43.0,26.9,4.3
23,Detox Immune-Boosting Soup,https://www.eatyourselfskinny.com/detox-immune-boosting-chicken-soup/,"['2 Tbsp olive oil', '1 onion chopped', '3 large celery stalks chopped', '2 large carrots peeled and chopped', '1 cup mushrooms sliced', '10 cloves garlic minced', '8 cups chicken stock', '2 bay leaves', '½ tsp. turmeric', '½ tsp. crushed red pepper', '1½ tsp. sea salt', '1 (15 oz) can chickpeas drained and rinsed', '3 cups shredded rotisserie chicken', '2 cups baby kale leaves']",253.0,20.6,28.0,6.5
24,Perfectly Roasted Broccoli & Sweet Potatoes,https://www.eatyourselfskinny.com/perfectly-roasted-broccoli-sweet-potatoes/,"['2 large sweet potatoes peeled and diced (about 8 cups)', '2 large heads broccoli chopped (about 8 cups)', '2 to 3 Tbsp olive oil', '¾ tsp. smoked paprika', '½ tsp. garlic powder', '¼ tsp. onion powder', '¼ tsp. cayenne pepper', '¼ tsp. dried oregano', '¼ tsp. dried thyme', '½ tsp. sea salt', '¼ tsp. black pepper']",206.0,31.4,7.2,7.8
25,Holiday Glazed Acorn Squash,https://www.eatyourselfskinny.com/holiday-glazed-acorn-squash-with-pomegranates-and-toasted-pine-nuts/,"['4 to 5 acorn squash', '4 shallots sliced', '3 Tbsp olive oil', '½ tsp. sea salt', '¼ tsp. ground pepper', '⅓ cup honey', '½ cup apple cider vinegar', 'Pinch of sea salt', '½ cup pomegranate seeds', '¼ cup pine nuts toasted', '¼ cup fresh mint chopped']",143.0,24.7,1.7,5.5
26,Sweet and Spicy Cranberry Salsa,https://www.eatyourselfskinny.com/how-to-create-the-perfect-holiday-cheeseboard/,"['1 (12 oz) package fresh cranberries', '1 Tbsp orange zest', '2 jalapenos seeded and chopped', '½ cup sliced green onions', '½ Tbsp lime juice', '½ cup raw sugar', '¼ tsp. salt']",109.0,25.8,0.2,0.0
27,Winter Kale and Quinoa Salad,https://www.eatyourselfskinny.com/winter-kale-and-quinoa-salad/,"['½ cup uncooked quinoa rinsed', '6 cups chopped kale', '1 cup pomegranate seeds', '½ cup dried cranberries', '½ cup walnuts chopped', '¼ cup olive oil', '2 Tbsp apple cider vinegar', '1½ tsp. Dijon mustard', '1 Tbsp honey', 'Salt and pepper to taste']",276.0,29.7,4.4,14.8
28,Slow Cooker Butternut Squash and Farro Chili,https://www.eatyourselfskinny.com/slow-cooker-butternut-squash-and-farro-chili/,"['2 lb. butternut squash peeled and diced', '1 onion chopped', '1 bell pepper chopped', '5 garlic cloves minced', '2 (15 oz) cans diced tomatoes', '3 Tbsp tomato paste', '1 (15 oz) can black beans drained', '1 (15 oz) can cannellini beans drained', '1½ cups vegetable broth', '1 cup farro rinsed', '1 Tbsp chili powder', '1 tsp. cinnamon', '½ tsp. salt']",323.0,67.1,13.0,1.0
29,Egg White and Avocado Salad,https://www.eatyourselfskinny.com/egg-white-avocado-salad/,"['10 hard boiled egg whites diced', '1 avocado mashed', '1 Tbsp Dijon mustard', '1 Tbsp plain Greek yogurt', '2 tsp. fresh lemon juice', '⅓ cup green onions chopped', '½ cup celery diced', '½ tsp. paprika', '¼ tsp. pepper', 'Pinch of sea salt', '2 slices uncured turkey bacon chopped']",154.0,6.9,12.1,8.9
30,One Pot Spicy Sausage and Kale Soup,https://www.eatyourselfskinny.com/spicy-sausage-and-kale-soup/,"['1 Tbsp O Organics Extra Virgin olive oil', '1 lb. hot (or regular) Italian ground sausage', '1 medium onion chopped', '2 bell peppers chopped (I used red and green)', '2 cloves garlic minced', '4 cups O Organics beef broth', '1 (15 oz) can O Organics diced tomatoes', '1 (16 oz) jar O Organics chunky salsa', '1 (12 oz) bag O Organics mixed frozen vegetables (corn green beans carrots)', '1 Tbsp Worcestershire sauce', '½ tsp. O Organics Italian seasoning', 'Salt and pepper to taste', '2 cups O Organics baby kale leaves']",319.0,20.6,13.0,13.9
