,Name,Url,Ingredients,Calories,Carbs Grams,Protein Grams,Fat Grams
28,Sesame Crusted Tuna Steak on Arugula,https://www.skinnytaste.com/sesame-crusted-tuna-steak-on-arugula-5/,"['20 ounces sushi grade tuna', '1 teaspoon toasted sesame oil', '1/4 cup black and white sesame seeds', 'pinch kosher salt', 'fresh black pepper to taste', '5 cups baby arugula', '1 tablespoon minced ginger', '1 tablespoon minced scallion', '1 tablespoon minced garlic', '1/2 cup balsamic vinegar', '1/4 cup red wine vinegar', '1/4 cup soy sauce or gluten-free tamari', '1 1/2 tbsp honey', '2 teaspoons toasted sesame oil', '1 teaspoon Dijon mustard']",290.0,16.5,36.0,8.0
29,Crustless Broccoli & Cheddar Quiche,https://www.skinnytaste.com/crustless-broccoli-cheddar-quiche/,"['cooking spray', '3 cups chopped broccoli florets', '1 cup grated cheddar cheese', '2/3 cup 2% milk', '1/4 cup half & half cream', '5 large eggs', '3/4 teaspoon kosher salt', '1/8 teaspoon ground black pepper', 'pinch freshly grated nutmeg']",174.0,5.0,12.5,12.0
30,Leftover Turkey Pot Pie Empanadas,https://www.skinnytaste.com/leftover-turkey-pot-pie-empanadas/,"['1 teaspoon unsalted butter', '1/4 cup chopped onion', '1/4 cup chopped celery', '2 tablespoons chopped fresh parsley', '1 clove garlic minced', '1 tablespoon corn starch', '1/2 cup low sodium chicken or turkey broth', '1 1/4 cups leftover shredded cooked turkey breast (5 ounces)', '3/4 cup frozen peas and carrots', '3/4 teaspoon kosher salt', '1/8 tsp ground black pepper', '1/2 tsp dried thyme', '10 frozen Goya Empanada Discos (the ones for baking) thawed', 'cooking spray', '1 large egg whisked']",174.0,24.5,9.5,5.0
31,Tomato Salad,https://www.skinnytaste.com/tomato-salad/,"['5 large (8 cups) medium ripe red heirloom or beefsteak tomatoes cut into 1-inch cubes', '1/2 cup red onion chopped', '8 to 10 fresh basil leaves chopped', '1 tablespoon extra virgin olive oil', '1 clove garlic minced', 'Kosher salt and fresh ground pepper to taste', 'good crusty bread for serving (optional)']",86.5,12.5,2.0,4.0
32,Chopped Feta Salad,https://www.skinnytaste.com/chopped-feta-salad/,"['8 cups chopped romaine lettuce', '1/2 English cucumber peeled and diced in large chunks', '1/3 cup Feta cheese crumbled', '1/8 small red onion sliced lengthwise', '1/4 cup olive oil', '2 tablespoon red wine vinegar', '1 1/2 tablespoons fresh chopped dill', '1/2 teaspoon kosher salt', 'fresh black pepper to taste']",173.0,4.5,4.0,16.5
33,Chicken Waldorf Salad,https://www.skinnytaste.com/skinny-chicken-waldorf-salad/,"['7 oz (1 breast) poached chicken breast (recipe follows)', '2 cups low sodium chicken broth', '1 medium apple peeled and cut into small cubes (I used Granny Smith)', '1 cup red seedless grapes cut in half', '1/2 cup celery chopped', '1/4 cup light Hellman’s mayonnaise', '2 tbsp 0% Greek yogurt (I like Stonyfield)', 'Kosher salt and pepper', '2 tbsp pecans or walnuts', '6 cups mixed baby greens like spinach and arugula']",236.0,17.0,19.5,10.5
34,Chicken Salad with Lemon and Dill,https://www.skinnytaste.com/chicken-salad-with-lemon-and-dill/,"['10 1/2 ounces cooked skinless boneless chicken breasts (from 1 whole rotisserie chicken)', '2 tablespoons fresh dill', 'zest and juice of 1 lemon', '1 tablespoon extra virgin olive oil', '1/4 teaspoon kosher salt']",207.0,1.4,31.0,8.0
35,Tuna Salad Deviled Eggs,https://www.skinnytaste.com/tuna-deviled-eggs/,"['8 large hard boiled eggs halved (Instant Pot hard boiled egg recipe here)', '2 (6 oz) cans albacore tuna packed in water drained', '1 tbsp red onion minced', '1/3 cup light mayo (use compliant mayo for whole30)', '1 teaspoon red wine vinegar', 'chopped fresh chives', 'salt and pepper to taste']",264.0,3.0,26.5,16.0
36,Chickpea Egg Salad,https://www.skinnytaste.com/chickpea-egg-salad/,"['2 15 ounce cans chickpeas (I use Goya) rinsed and drained', '6 large hard boiled eggs sliced crosswise', 'kosher salt and black pepper to taste', '2 tablespoons chopped red onion', '2 tablespoons extra virgin olive oil', '2 tablespoons apple cider vinegar (I use Braggs)', '1 tablespoon chopped fresh cilantro or parsley']",375.0,36.0,20.0,16.0
37,Chickpea Tuna Salad,https://www.skinnytaste.com/chickpea-tuna-salad/,"['15 ounce can chickpeas rinsed and drained', '6 ounce can wild albacore tuna drained (I like American Tuna)', '1 to 2 tablespoons chopped red onion', '2 tablespoons capers plus 2 tablespoons of the brine', '2 tablespoons red wine vinegar', 'chopped lettuce optional']",273.0,36.0,27.0,2.5
38,Bangin Good Shrimp,https://www.skinnytaste.com/bangin-good-shrimp/,"['5 tbsp light mayonnaise', '3 tbsp Thai Sweet Chili Sauce', '1 tsp Sriracha (to taste)', '1 lb large shrimp shelled and deveined (weight after peeled)', '2 tsp cornstarch', '1 tsp canola oil', '3 cups shredded iceberg lettuce', '1 cup shredded purple cabbage', '4 tbsp scallions chopped']",215.0,12.0,24.0,7.5
39,Dad's Creamy Cauliflower Soup,https://www.skinnytaste.com/dads-creamy-cauliflower-soup-1-p/,"['1 tbsp butter', '1 tbsp unbleached flour (gluten-free is fine too)', '1 medium head cauliflower chopped', '1/2 cup chopped onions', '4 cups less sodium chicken broth (vegetarians can use vegetable broth)', 'salt and pepper to taste']",80.0,11.0,4.0,3.0
40,Chickpea Avocado Salad,https://www.skinnytaste.com/chickpea-avocado-salad/,"['2 cups chopped greens such as romaine', '1 cup canned chickpeas rinsed and drained', '2/3 cup diced cucumbers', '2/3 cup halved cherry tomatoes', '2 ounces sliced avocado from 1/2 small', '2 tsp extra virgin olive oil', '3 tsp unfiltered apple cider vinegar (I use Braggs) or fresh lemon juice', 'kosher salt', 'fresh black pepper to taste']",243.0,31.5,9.0,10.0
41,Air Fryer Beef Empanadas,https://www.skinnytaste.com/air-fryer-beef-empanadas/,"['8 Goya empanada discs (in frozen section) thawed', '1 cup picadillo', '1 egg white whisked', '1 teaspoon water']",183.0,22.0,11.0,5.0
42,Seared Tuna Salad with Wasabi Butter Sauce,https://www.skinnytaste.com/seared-tuna-salad-with-wasabi-butter-sauce/,"['½ cup panko bread crumbs (or gluten free panko)', '3 tablespoons black and white sesame seeds', '4 (5-ounce) raw ahi or yellowfin tuna steaks (I used Trader Joes frozen ahi tuna steaks)', '½ teaspoon kosher salt', 'Freshly ground black pepper', 'Canola oil or cooking spray', '2 tablespoons reduced sodium or gluten-free soy sauce', '1 teaspoon prepared wasabi paste', '2 teaspoons minced shallots', '¼ cup white wine (I used Sauvignon Blanc)', '2 tablespoons whole milk', '2 tablespoon unsalted butter', '4 cups fresh baby arugula', '4 cups fresh baby spinach', 'Sliced radish for garnish (optional)', 'Sliced cucumber for garnish (optional)']",311.0,12.0,37.0,11.0
